Campaign_ID,Channel,Region,Campaign_Type,Ad_Spend,Impressions,Clicks,Leads,Conversions,Revenue,CTR,Lead_Rate,Conversion_Rate,ROI,ROAS
CMP0001,Google Ads,South,Awareness,4132.16,31833,1034,251,15,4002.8,3.24820155184871,24.274661508704064,5.9760956175298805,-3.130566096182134,0.9686943390381787
CMP0002,Youtube Ads,East,Conversion,4910.96,48861,1409,316,12,3658.43,2.8836904688811114,22.427253371185238,3.79746835443038,-25.504789287634193,0.7449521071236581
CMP0003,Instagram Ads,North,Consideration,2759.06,19505,572,109,6,1590.01,2.9325813893873365,19.055944055944053,5.5045871559633035,-42.37131486810725,0.5762868513189274
CMP0004,Facebook Ads,North,Consideration,2375.58,20786,1386,380,18,3420.91,6.667949581449053,27.417027417027416,4.736842105263158,44.00314870473736,1.4400314870473736
CMP0005,Email,North,Awareness,1486.7,12565,1057,153,12,3327.03,8.412256267409472,14.474929044465467,7.8431372549019605,123.786237976727,2.23786237976727
CMP0006,Email,North,Conversion,1784.54,20013,1172,142,10,2681.12,5.856193474241743,12.1160409556314,7.042253521126761,50.241518822777856,1.5024151882277785
CMP0007,Email,West,Consideration,1719.91,12382,367,70,4,1090.58,2.963979970925537,19.07356948228883,5.714285714285714,-36.590868126820595,0.634091318731794
CMP0008,Youtube Ads,North,Consideration,3421.25,38101,2782,434,15,3590.72,7.301645626099053,15.600287562904386,3.4562211981566824,4.953452685421989,1.04953452685422
CMP0009,Facebook Ads,West,Conversion,4506.78,32401,2630,340,14,3382.37,8.117033424894293,12.927756653992395,4.117647058823529,-24.949298612313004,0.75050701387687
CMP0010,Instagram Ads,West,Conversion,3499.3,42781,2902,767,36,10216.7,6.7833851476122575,26.430048242591315,4.69361147327249,191.9641071071357,2.919641071071357
CMP0011,Email,North,Awareness,2226.84,21631,1376,295,27,6167.56,6.361240811797883,21.438953488372093,9.152542372881356,176.96466742109897,2.7696466742109895
CMP0012,Youtube Ads,North,Consideration,4038.71,29733,1184,176,10,2502.16,3.9821074227289546,14.864864864864865,5.681818181818182,-38.04556405386869,0.6195443594613131
CMP0013,Instagram Ads,North,Awareness,3282.33,35948,1973,433,26,6044.73,5.488483364860354,21.946274708565635,6.0046189376443415,84.1597279980989,1.841597279980989
CMP0014,Social Media,East,Conversion,2241.83,29094,2428,575,22,5745.06,8.345363305148828,23.68204283360791,3.826086956521739,156.2665322526686,2.562665322526686
CMP0015,Social Media,North,Awareness,2384.18,29109,1997,506,23,5360.35,6.860421175581435,25.338007010515774,4.545454545454546,124.82992055968931,2.248299205596893
CMP0016,Social Media,South,Consideration,1749.14,16137,1359,172,10,2526.09,8.421639709983268,12.656364974245768,5.813953488372093,44.41897160890495,1.4441897160890496
